name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),708,0.000113,Best improv 2opt,467,0.000924,20,1,0.001041,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),1237,0.000335,Best improv 2opt,440,0.001490,20,1,0.001831,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),675,0.000170,Best improv 2opt,458,0.000905,20,1,0.001080,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),963,0.000656,Best improv 2opt,448,0.001113,20,1,0.001776,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Nearest neighbor (NN),511,0.000032,Best improv 2opt,435,0.000403,20,1,0.000441,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Double-sided nearest neighbor (DSNN),555,0.000054,Best improv 2opt,433,0.000533,20,1,0.000591,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),708,0.000104,1st improv 2opt,445,0.000445,20,1,0.000554,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),1237,0.000285,1st improv 2opt,443,0.001137,20,1,0.001428,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),675,0.000163,1st improv 2opt,448,0.000738,20,1,0.000906,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),963,0.000608,1st improv 2opt,449,0.001036,20,1,0.001647,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Nearest neighbor (NN),511,0.000033,1st improv 2opt,438,0.000408,20,1,0.000445,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Double-sided nearest neighbor (DSNN),555,0.000045,1st improv 2opt,440,0.000355,20,1,0.000406,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),708,0.000109,Best improv modified-2opt,486,0.001799,20,1,0.001917,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Nearest Neighbor (RNN),1237,0.000308,Best improv modified-2opt,478,0.002242,20,1,0.002555,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),675,0.000126,Best improv modified-2opt,463,0.001245,20,1,0.001374,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/small/eil51.tsp,51,Random Double-sided nearest neighbor (RDSNN),963,0.000467,Best improv modified-2opt,492,0.001581,20,1,0.002053,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
