name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),4027763,0.062064,Best improv 2opt,349112,103.313262,20,1,103.375334,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),9781084,0.233571,Best improv 2opt,349292,116.414910,20,1,116.648487,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),3264873,0.138440,Best improv 2opt,357636,99.310648,20,1,99.449092,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),7226801,0.510343,Best improv 2opt,349597,113.321328,20,1,113.831675,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Nearest neighbor (NN),389270,0.010440,Best improv 2opt,337698,8.258115,20,1,8.268561,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Double-sided nearest neighbor (DSNN),400819,0.023950,Best improv 2opt,330059,8.313428,20,1,8.337385,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),4027763,0.067906,1st improv 2opt,344036,207.434273,20,1,207.502186,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),9781084,0.276774,1st improv 2opt,337239,205.192075,20,1,205.468856,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),3264873,0.145173,1st improv 2opt,343098,181.859179,20,1,182.004358,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),7226801,0.451941,1st improv 2opt,345566,187.591549,20,1,188.043496,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Nearest neighbor (NN),389270,0.011404,1st improv 2opt,337164,8.730789,20,1,8.742201,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Double-sided nearest neighbor (DSNN),400819,0.021136,1st improv 2opt,341383,10.727430,20,1,10.748572,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),4027763,0.069879,Best improv modified-2opt,348212,345.513854,20,1,345.583741,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),9781084,0.265723,Best improv modified-2opt,355226,387.760300,20,1,388.026025,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),3264873,0.146751,Best improv modified-2opt,357436,333.321350,20,1,333.468107,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),7226801,0.458068,Best improv modified-2opt,353925,380.415810,20,1,380.873885,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Nearest neighbor (NN),389270,0.010450,Best improv modified-2opt,337284,25.933605,20,1,25.944063,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Double-sided nearest neighbor (DSNN),400819,0.022623,Best improv modified-2opt,342338,27.547762,20,1,27.570394,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),4027763,0.071164,1st improv modified-2opt,370324,120.200943,20,1,120.272114,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Nearest Neighbor (RNN),9781084,0.227466,1st improv modified-2opt,370597,149.099285,20,1,149.326757,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),3264873,0.145144,1st improv modified-2opt,370167,104.545399,20,1,104.690551,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Random Double-sided nearest neighbor (RDSNN),7226801,0.448909,1st improv modified-2opt,367118,134.959728,20,1,135.408643,qtname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Nearest neighbor (NN),389270,0.010137,1st improv modified-2opt,348250,6.553710,20,1,6.563854,qlname,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp
instances/medium/rl1889.tsp,1889,Double-sided nearest neighbor (DSNN),400819,0.023345,1st improv modified-2opt,348439,6.716080,20,1,6.739432,ql
