name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15355645.00,7.926011,None,0.00,0.000001,10,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),18020002.00,7.924431,None,0.00,0.000002,12,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20496181.00,7.887440,None,0.00,0.000002,14,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23125258.00,7.961702,None,0.00,0.000001,16,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25548035.00,8.026642,None,0.00,0.000002,18,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),27959501.00,8.081688,None,0.00,0.000002,20,2
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15397243.00,7.795126,None,0.00,0.000001,10,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),18074368.00,7.896740,None,0.00,0.000002,12,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20515240.00,7.921407,None,0.00,0.000001,14,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23124269.00,8.019013,None,0.00,0.000010,16,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25781350.00,8.029060,None,0.00,0.000001,18,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28141154.00,8.099041,None,0.00,0.000002,20,3
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15286397.00,7.789197,None,0.00,0.000002,10,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),17888847.00,7.853553,None,0.00,0.000001,12,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20551894.00,7.917264,None,0.00,0.000003,14,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),22965321.00,7.949479,None,0.00,0.000001,16,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25672223.00,8.036316,None,0.00,0.000003,18,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28005215.00,8.115600,None,0.00,0.000001,20,4
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15337431.00,7.823238,None,0.00,0.000001,10,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),18026244.00,8.125197,None,0.00,0.000001,12,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20499382.00,7.913539,None,0.00,0.000001,14,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23002492.00,7.989043,None,0.00,0.000001,16,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25605873.00,8.050341,None,0.00,0.000002,18,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28128013.00,8.083283,None,0.00,0.000003,20,5
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15251299.00,7.818845,None,0.00,0.000002,10,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),18116683.00,7.832817,None,0.00,0.000002,12,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20649833.00,7.880582,None,0.00,0.000001,14,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),22975455.00,7.983642,None,0.00,0.000001,16,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25729087.00,8.021905,None,0.00,0.000002,18,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28239643.00,8.088841,None,0.00,0.000001,20,6
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15300802.00,7.801005,None,0.00,0.000001,10,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),17861156.00,7.831831,None,0.00,0.000001,12,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20469835.00,7.914258,None,0.00,0.000003,14,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23141394.00,7.911157,None,0.00,0.000002,16,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25575777.00,8.031453,None,0.00,0.000001,18,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28002950.00,8.073247,None,0.00,0.000001,20,7
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15450113.00,7.778927,None,0.00,0.000001,10,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),18003936.00,7.818824,None,0.00,0.000001,12,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20591668.00,7.873134,None,0.00,0.000001,14,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23110173.00,7.940156,None,0.00,0.000001,16,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25570395.00,7.995498,None,0.00,0.000001,18,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),27903065.00,8.053256,None,0.00,0.000002,20,8
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15225571.00,7.771555,None,0.00,0.000001,10,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),17984425.00,7.821615,None,0.00,0.000003,12,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20480988.00,7.903649,None,0.00,0.000001,14,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23098379.00,7.945363,None,0.00,0.000001,16,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25622447.00,7.999108,None,0.00,0.000002,18,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28113862.00,8.069260,None,0.00,0.000002,20,9
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15184893.00,7.762368,None,0.00,0.000001,10,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),17976804.00,7.848175,None,0.00,0.000002,12,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20734345.00,7.896294,None,0.00,0.000001,14,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23161062.00,7.975108,None,0.00,0.000002,16,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25643858.00,7.989761,None,0.00,0.000001,18,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28099810.00,8.110773,None,0.00,0.000001,20,10
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),15383333.00,7.780723,None,0.00,0.000001,10,11
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),17900188.00,7.847770,None,0.00,0.000001,12,11
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),20530422.00,7.875257,None,0.00,0.000002,14,11
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),23125666.00,7.948487,None,0.00,0.000003,16,11
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),25607429.00,7.993860,None,0.00,0.000002,18,11
instances/large/d15112.tsp,15112,Random Double-sided nearest neighbor (RDSNN),28138498.00,8.036221,None,0.00,0.000002,20,11
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),4973887.00,6.747011,None,0.00,0.000001,10,12
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),5894088.00,6.817632,None,0.00,0.000001,12,12
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),6640784.00,6.867869,None,0.00,0.000001,14,12
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),7523318.00,6.964366,None,0.00,0.000001,16,12
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),8303145.00,6.965538,None,0.00,0.000001,18,12
instances/large/brd14051.tsp,14051,Random Double-sided nearest neighbor (RDSNN),9095050.00,7.050976,None,0.00,0.000001,20,12
