name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19015637.00,4.375364,None,0.00,0.000002,10,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22499394.00,3.960416,None,0.00,0.000001,12,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25728836.00,3.951527,None,0.00,0.000001,14,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29206096.00,3.983179,None,0.00,0.000002,16,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32236480.00,4.007434,None,0.00,0.000001,18,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35560761.00,4.034478,None,0.00,0.000001,20,2
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19165898.00,3.909368,None,0.00,0.000001,10,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22457082.00,3.914080,None,0.00,0.000001,12,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25701766.00,3.940257,None,0.00,0.000001,14,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29025789.00,3.973170,None,0.00,0.000001,16,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32473611.00,4.004998,None,0.00,0.000002,18,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35358892.00,4.058261,None,0.00,0.000002,20,3
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19137857.00,3.895667,None,0.00,0.000001,10,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22447524.00,3.939628,None,0.00,0.000001,12,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25776818.00,4.014196,None,0.00,0.000002,14,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29081654.00,3.983834,None,0.00,0.000003,16,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32058011.00,4.035843,None,0.00,0.000001,18,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35272996.00,4.082551,None,0.00,0.000001,20,4
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19177724.00,3.960826,None,0.00,0.000002,10,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22430181.00,3.966450,None,0.00,0.000001,12,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25839344.00,4.035862,None,0.00,0.000002,14,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29056948.00,4.037250,None,0.00,0.000002,16,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32363969.00,4.049589,None,0.00,0.000001,18,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35453872.00,4.077497,None,0.00,0.000001,20,5
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19112991.00,3.905905,None,0.00,0.000002,10,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22382780.00,3.943048,None,0.00,0.000002,12,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25650418.00,3.970268,None,0.00,0.000002,14,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29111802.00,3.988188,None,0.00,0.000002,16,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32248595.00,4.021365,None,0.00,0.000002,18,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35447152.00,4.044268,None,0.00,0.000002,20,6
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19135210.00,3.904483,None,0.00,0.000001,10,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22434002.00,3.928178,None,0.00,0.000002,12,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25727611.00,3.965604,None,0.00,0.000001,14,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29168174.00,3.996751,None,0.00,0.000002,16,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32470704.00,4.008929,None,0.00,0.000001,18,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35449668.00,4.050365,None,0.00,0.000002,20,7
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19094721.00,3.918184,None,0.00,0.000002,10,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22408715.00,3.933646,None,0.00,0.000001,12,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25687217.00,3.959313,None,0.00,0.000001,14,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),28993943.00,3.998903,None,0.00,0.000001,16,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32189231.00,4.028442,None,0.00,0.000001,18,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35603876.00,4.048405,None,0.00,0.000003,20,8
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19071498.00,3.911088,None,0.00,0.000002,10,9
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22549467.00,3.942595,None,0.00,0.000001,12,9
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25776206.00,3.947894,None,0.00,0.000001,14,9
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),28939234.00,3.992414,None,0.00,0.000000,16,9
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32274229.00,4.015742,None,0.00,0.000002,18,9
