name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),504654.00,0.146929,None,0.00,0.000001,10,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),582829.00,0.137241,None,0.00,0.000002,12,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),660052.00,0.160242,None,0.00,0.000001,14,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),727425.00,0.155445,None,0.00,0.000002,16,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),817278.00,0.157497,None,0.00,0.000003,18,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),884659.00,0.147204,None,0.00,0.000002,20,2
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),494594.00,0.148532,None,0.00,0.000002,10,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),580413.00,0.145744,None,0.00,0.000002,12,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),648760.00,0.139422,None,0.00,0.000002,14,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),742866.00,0.142002,None,0.00,0.000003,16,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),822637.00,0.146392,None,0.00,0.000003,18,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),892195.00,0.142514,None,0.00,0.000001,20,3
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),491128.00,0.128844,None,0.00,0.000001,10,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),585478.00,0.176566,None,0.00,0.000002,12,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),660699.00,0.151167,None,0.00,0.000001,14,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),732863.00,0.149731,None,0.00,0.000003,16,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),814705.00,0.147809,None,0.00,0.000001,18,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),893117.00,0.174301,None,0.00,0.000001,20,4
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),493193.00,0.139198,None,0.00,0.000002,10,5
instances/medium/d2103.tsp,2103,Random Double-sided nearest neighbor (RDSNN),576210.00,0.131427,None,0.00,0.000001,12,5
