name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),502299.00,0.073979,None,0.00,0.000002,10,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),575278.00,0.077696,None,0.00,0.000002,12,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),667419.00,0.087534,None,0.00,0.000002,14,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),731277.00,0.081978,None,0.00,0.000002,16,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),808053.00,0.077929,None,0.00,0.000001,18,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),888843.00,0.076511,None,0.00,0.000001,20,2
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),495461.00,0.071157,None,0.00,0.000001,10,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),579293.00,0.075649,None,0.00,0.000002,12,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),658497.00,0.083121,None,0.00,0.000002,14,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),743822.00,0.078750,None,0.00,0.000002,16,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),806713.00,0.078796,None,0.00,0.000001,18,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),873338.00,0.080086,None,0.00,0.000001,20,3
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),500740.00,0.069662,None,0.00,0.000002,10,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),579959.00,0.074074,None,0.00,0.000002,12,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),647826.00,0.074851,None,0.00,0.000003,14,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),741884.00,0.076674,None,0.00,0.000003,16,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),816767.00,0.080039,None,0.00,0.000002,18,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),901877.00,0.075282,None,0.00,0.000001,20,4
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),493441.00,0.056625,None,0.00,0.000001,10,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),575744.00,0.068803,None,0.00,0.000003,12,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),662051.00,0.070684,None,0.00,0.000001,14,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),729652.00,0.070519,None,0.00,0.000001,16,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),800708.00,0.071395,None,0.00,0.000001,18,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),879719.00,0.074207,None,0.00,0.000001,20,5
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),500978.00,0.064699,None,0.00,0.000002,10,6
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),574401.00,0.065522,None,0.00,0.000002,12,6
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),652932.00,0.068528,None,0.00,0.000001,14,6
