name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),320130.00,0.006788,None,0.00,0.000007,10,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),369668.00,0.006858,None,0.00,0.000002,12,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),385014.00,0.006465,None,0.00,0.000001,14,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),414695.00,0.006654,None,0.00,0.000002,16,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),468037.00,0.006690,None,0.00,0.000002,18,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),485447.00,0.006710,None,0.00,0.000003,20,2
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),327828.00,0.005927,None,0.00,0.000002,10,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),358928.00,0.005996,None,0.00,0.000001,12,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),416163.00,0.005598,None,0.00,0.000002,14,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),423992.00,0.005470,None,0.00,0.000002,16,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),462947.00,0.006584,None,0.00,0.000001,18,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),501160.00,0.005238,None,0.00,0.000002,20,3
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),343764.00,0.005416,None,0.00,0.000001,10,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),390377.00,0.005429,None,0.00,0.000001,12,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),381909.00,0.005344,None,0.00,0.000001,14,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),414064.00,0.005872,None,0.00,0.000002,16,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),448300.00,0.004799,None,0.00,0.000001,18,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),445061.00,0.004974,None,0.00,0.000001,20,4
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),330122.00,0.004807,None,0.00,0.000002,10,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),345205.00,0.004588,None,0.00,0.000001,12,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),376799.00,0.004893,None,0.00,0.000001,14,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),412659.00,0.005140,None,0.00,0.000002,16,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),454766.00,0.005868,None,0.00,0.000002,18,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),494925.00,0.006015,None,0.00,0.000002,20,5
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),324168.00,0.005571,None,0.00,0.000001,10,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),336267.00,0.005335,None,0.00,0.000001,12,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),392441.00,0.005610,None,0.00,0.000001,14,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),411646.00,0.005551,None,0.00,0.000002,16,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),439939.00,0.005904,None,0.00,0.000001,18,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),484977.00,0.005778,None,0.00,0.000002,20,6
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),343984.00,0.005375,None,0.00,0.000001,10,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),390798.00,0.006025,None,0.00,0.000003,12,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),405768.00,0.006842,None,0.00,0.000001,14,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),444574.00,0.006049,None,0.00,0.000001,16,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),466067.00,0.005905,None,0.00,0.000001,18,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),486252.00,0.005970,None,0.00,0.000001,20,7
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),311418.00,0.006234,None,0.00,0.000003,10,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),392983.00,0.005596,None,0.00,0.000001,12,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),425370.00,0.005460,None,0.00,0.000000,14,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),413322.00,0.004929,None,0.00,0.000001,16,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),478221.00,0.005846,None,0.00,0.000002,18,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),498671.00,0.006668,None,0.00,0.000001,20,8
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),365741.00,0.006726,None,0.00,0.000002,10,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),357109.00,0.005227,None,0.00,0.000002,12,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),384771.00,0.005548,None,0.00,0.000001,14,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),402645.00,0.005893,None,0.00,0.000001,16,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),439810.00,0.006536,None,0.00,0.000001,18,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),490357.00,0.005508,None,0.00,0.000001,20,9
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),315607.00,0.005488,None,0.00,0.000002,10,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),381919.00,0.006029,None,0.00,0.000001,12,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),447978.00,0.006004,None,0.00,0.000001,14,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),437321.00,0.005360,None,0.00,0.000001,16,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),462912.00,0.006554,None,0.00,0.000001,18,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),454215.00,0.005805,None,0.00,0.000001,20,10
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),323058.00,0.006172,None,0.00,0.000002,10,11
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),414407.00,0.006133,None,0.00,0.000001,12,11
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),401286.00,0.005490,None,0.00,0.000001,14,11
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),441106.00,0.005821,None,0.00,0.000001,16,11
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),457321.00,0.006507,None,0.00,0.000002,18,11
instances/small/pr439.tsp,439,Random Double-sided nearest neighbor (RDSNN),489769.00,0.006307,None,0.00,0.000002,20,11
instances/small/berlin52.tsp,52,Random Double-sided nearest neighbor (RDSNN),11427.00,0.000110,None,0.00,0.000000,10,12
instances/small/berlin52.tsp,52,Random Double-sided nearest neighbor (RDSNN),10229.00,0.000125,None,0.00,0.000002,12,12
instances/small/berlin52.tsp,52,Random Double-sided nearest neighbor (RDSNN),10274.00,0.000125,None,0.00,0.000002,14,12
instances/small/berlin52.tsp,52,Random Double-sided nearest neighbor (RDSNN),10534.00,0.000125,None,0.00,0.000001,16,12
instances/small/berlin52.tsp,52,Random Double-sided nearest neighbor (RDSNN),13654.00,0.000126,None,0.00,0.000001,18,12
