name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),357842.00,0.003357,None,0.00,0.000002,10,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),412717.00,0.003821,None,0.00,0.000001,12,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),453628.00,0.003542,None,0.00,0.000002,14,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),497214.00,0.003382,None,0.00,0.000003,16,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),549867.00,0.003649,None,0.00,0.000001,18,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),596637.00,0.003631,None,0.00,0.000001,20,2
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),351999.00,0.003051,None,0.00,0.000001,10,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),417097.00,0.003580,None,0.00,0.000003,12,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),450710.00,0.003400,None,0.00,0.000001,14,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),491758.00,0.003435,None,0.00,0.000002,16,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),560193.00,0.003207,None,0.00,0.000001,18,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),590110.00,0.003415,None,0.00,0.000002,20,3
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),366132.00,0.002785,None,0.00,0.000000,10,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),403453.00,0.003427,None,0.00,0.000001,12,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),414908.00,0.003510,None,0.00,0.000001,14,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),502097.00,0.003015,None,0.00,0.000001,16,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),574679.00,0.003137,None,0.00,0.000001,18,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),591104.00,0.003512,None,0.00,0.000001,20,4
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),365252.00,0.003041,None,0.00,0.000001,10,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),396642.00,0.003331,None,0.00,0.000001,12,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),479052.00,0.003062,None,0.00,0.000001,14,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),499926.00,0.002919,None,0.00,0.000001,16,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),510188.00,0.002867,None,0.00,0.000002,18,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),580480.00,0.003530,None,0.00,0.000002,20,5
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),361169.00,0.003211,None,0.00,0.000001,10,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),419405.00,0.003186,None,0.00,0.000001,12,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),457833.00,0.003178,None,0.00,0.000001,14,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),482427.00,0.003430,None,0.00,0.000001,16,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),532615.00,0.003281,None,0.00,0.000002,18,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),589013.00,0.003316,None,0.00,0.000002,20,6
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),358935.00,0.003192,None,0.00,0.000001,10,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),419697.00,0.003405,None,0.00,0.000000,12,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),461098.00,0.003028,None,0.00,0.000001,14,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),486223.00,0.003306,None,0.00,0.000001,16,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),536394.00,0.003383,None,0.00,0.000000,18,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),570058.00,0.003368,None,0.00,0.000002,20,7
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),349400.00,0.003131,None,0.00,0.000002,10,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),422118.00,0.003224,None,0.00,0.000002,12,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),447510.00,0.003044,None,0.00,0.000001,14,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),505250.00,0.003490,None,0.00,0.000001,16,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),558855.00,0.003224,None,0.00,0.000002,18,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),588790.00,0.003403,None,0.00,0.000002,20,8
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),374955.00,0.003103,None,0.00,0.000001,10,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),394350.00,0.002961,None,0.00,0.000001,12,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),449189.00,0.003434,None,0.00,0.000002,14,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),466512.00,0.003323,None,0.00,0.000002,16,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),537906.00,0.003024,None,0.00,0.000002,18,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),605858.00,0.003500,None,0.00,0.000001,20,9
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),353596.00,0.003136,None,0.00,0.000002,10,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),419065.00,0.002969,None,0.00,0.000002,12,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),459033.00,0.003270,None,0.00,0.000001,14,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),473517.00,0.003207,None,0.00,0.000001,16,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),536421.00,0.003167,None,0.00,0.000002,18,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),594249.00,0.003399,None,0.00,0.000001,20,10
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),367731.00,0.002771,None,0.00,0.000002,10,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),414756.00,0.003249,None,0.00,0.000001,12,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),455281.00,0.003226,None,0.00,0.000002,14,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),501184.00,0.003177,None,0.00,0.000002,16,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),511249.00,0.003093,None,0.00,0.000002,18,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),575622.00,0.003472,None,0.00,0.000001,20,11
