name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),407104,0.019784,1st improv 2opt,64993,0.059824,25,1559502441,97.077069,ql,97.077067,0.000000,0,67523.134440,1205
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),391477,0.020437,1st improv 2opt,66687,0.060095,25,1559502442,100.091011,ql,100.091009,0.000000,0,67538.088567,1242
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),390215,0.020358,1st improv 2opt,65146,0.061144,25,1559502443,47.827726,ql,47.827714,0.000000,0,67504.482234,591
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),400314,0.020412,1st improv 2opt,64878,0.061285,25,1559502444,89.719408,ql,89.719406,0.000000,0,67553.661871,1112
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),389958,0.020530,1st improv 2opt,65120,0.061410,25,1559502445,13.710465,ql,13.710463,0.000000,0,67514.343195,169
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),385263,0.020132,1st improv 2opt,65247,0.063278,25,1559502446,47.515007,ql,47.515006,0.000000,0,67518.485569,589
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),385262,0.020244,1st improv 2opt,64867,0.061926,25,1559502447,7.589700,ql,7.589700,0.000000,0,67523.591398,93
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),385429,0.020256,1st improv 2opt,67194,0.060237,25,1559502448,100.115646,ql,100.115645,0.000000,0,67518.171774,1240
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),388870,0.020358,1st improv 2opt,67893,0.059673,25,1559502449,100.115661,ql,100.115661,0.000000,0,67526.643261,1239
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),396192,0.020307,1st improv 2opt,66841,0.059741,25,1559502450,100.122841,ql,100.122839,0.000000,0,67531.890499,1242
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),398013,0.019937,1st improv 2opt,65258,0.059563,25,1559502451,12.204836,ql,12.204835,0.000000,0,67564.278146,151
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),402172,0.020430,1st improv 2opt,65223,0.059104,25,1559502452,97.058233,ql,97.058231,0.000000,0,67534.844684,1204
