name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),67614,0.020669,1st improv 2opt,65283,0.058899,25,1559515776,0.181310,ql,0.181309,0.181308,1,65283.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),67495,0.020289,1st improv 2opt,65254,0.057161,25,1559515778,0.174294,ql,0.174292,0.174291,1,65254.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),66896,0.020552,1st improv 2opt,65072,0.059028,25,1559515780,0.179006,ql,0.179006,0.179004,1,65072.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65322,0.020000,1st improv 2opt,65236,0.057545,25,1559515782,0.173373,ql,0.173372,0.173370,1,65236.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65116,0.020925,1st improv 2opt,64862,0.061721,25,1559515785,0.282797,ql,0.282796,0.282794,2,65154.000000,2
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),66643,0.021041,1st improv 2opt,64549,0.058696,25,1559515788,0.286125,ql,0.286124,0.286122,2,65260.000000,2
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64599,0.020407,1st improv 2opt,64297,0.059940,25,1559515790,0.179325,ql,0.179324,0.179322,1,64297.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64552,0.020394,1st improv 2opt,64297,0.060509,25,1559515792,0.177776,ql,0.177775,0.177774,1,64297.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64314,0.020085,1st improv 2opt,64297,0.058963,25,1559515794,0.175379,ql,0.175377,0.175376,1,64297.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65354,0.020414,1st improv 2opt,65236,0.056680,25,1559515797,0.270618,ql,0.270617,0.270616,2,65474.000000,2
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),67438,0.021218,1st improv 2opt,65219,0.057077,25,1559515799,0.179396,ql,0.179396,0.179394,1,65219.000000,1
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),66900,0.019927,1st improv 2opt,64270,0.059080,25,1559515801,0.175663,ql,0.175662,0.175661,1,64270.000000,1
