name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),572895,0.048692,1st improv 2opt,69269,0.200348,25,1559848030,100.338553,ql,100.338553,0.000000,0,69638.428571,413
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),548191,0.049133,1st improv 2opt,66835,0.195929,25,1559848031,50.890187,ql,50.890185,0.000000,0,69693.757143,210
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),553338,0.047296,1st improv 2opt,69213,0.190978,25,1559848032,100.342922,ql,100.342921,0.000000,0,69633.689157,415
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),561441,0.048748,1st improv 2opt,70392,0.191772,25,1559848033,100.332587,ql,100.332585,0.000000,0,69679.633735,415
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),554282,0.049297,1st improv 2opt,67258,0.180325,25,1559848034,16.401023,ql,16.401021,0.000000,0,69722.746269,67
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),565338,0.049071,1st improv 2opt,67232,0.186591,25,1559848035,38.883130,ql,38.883130,0.000000,0,69696.250000,160
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),563058,0.048649,1st improv 2opt,67169,0.187516,25,1559848036,34.186915,ql,34.186914,0.000000,0,69738.602837,141
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),563306,0.048311,1st improv 2opt,67393,0.189720,25,1559848037,26.915686,ql,26.915685,0.000000,0,69775.218182,110
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),566427,0.049024,1st improv 2opt,69970,0.191176,25,1559848038,100.313891,ql,100.313891,0.000000,0,69666.983133,415
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),565225,0.048791,1st improv 2opt,67010,0.197811,25,1559848039,50.186441,ql,50.186440,0.000000,0,69666.884058,207
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),567300,0.048474,1st improv 2opt,70341,0.192417,25,1559848040,100.377395,ql,100.377394,0.000000,0,69701.910843,415
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),565167,0.048008,1st improv 2opt,67256,0.190939,25,1559848041,66.217660,ql,66.217660,0.000000,0,69684.448905,274
