name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68272,0.048873,1st improv 2opt,65838,0.170815,25,1559916110,0.482608,ql,0.482606,0.482605,2,32919.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65890,0.048720,1st improv 2opt,65656,0.174268,25,1559916112,0.491640,ql,0.491640,0.491637,2,32828.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68864,0.049173,1st improv 2opt,66304,0.163361,25,1559916114,0.484502,ql,0.484500,0.484499,2,33152.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65669,0.049495,1st improv 2opt,65656,0.170192,25,1559916116,0.487715,ql,0.487714,0.487712,2,32828.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69081,0.048895,1st improv 2opt,66626,0.168948,25,1559916118,0.492581,ql,0.492581,0.492578,2,33313.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),66646,0.048665,1st improv 2opt,66378,0.173762,25,1559916120,0.485919,ql,0.485919,0.485916,2,33189.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69581,0.049234,1st improv 2opt,66362,0.182572,25,1559916122,0.499165,ql,0.499165,0.499164,2,33181.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69107,0.048755,1st improv 2opt,66360,0.175880,25,1559916124,0.495500,ql,0.495499,0.495497,2,33180.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),70149,0.049429,1st improv 2opt,67348,0.178466,25,1559916126,0.496567,ql,0.496566,0.496564,2,33674.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69311,0.048220,1st improv 2opt,65940,0.169593,25,1559916128,0.489144,ql,0.489144,0.489142,2,32970.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69949,0.047792,1st improv 2opt,67257,0.169641,25,1559916130,0.486672,ql,0.486671,0.486669,2,33628.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69157,0.049174,1st improv 2opt,66581,0.180743,25,1559916132,0.502889,ql,0.502889,0.502887,2,33290.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),66424,0.049596,1st improv 2opt,66232,0.177665,25,1559916134,0.493717,ql,0.493716,0.493714,2,33116.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),66597,0.050510,1st improv 2opt,66278,0.175175,25,1559916136,0.495583,ql,0.495581,0.495580,2,33139.000000,2
