name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),392739,0.020812,1st improv 2opt,65090,0.061965,25,1561579719,64.087893,ql,64.087892,0.000000,782,67550.660691,782
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),402447,0.020534,1st improv 2opt,65270,0.057914,25,1561579720,46.183434,ql,46.183432,0.000000,566,67547.279646,566
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),397335,0.020672,1st improv 2opt,64808,0.064587,25,1561579721,91.759957,ql,91.759956,0.000000,1122,67517.779661,1122
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),390007,0.020637,1st improv 2opt,65185,0.059394,25,1561579722,8.751088,ql,8.751086,0.000000,107,67474.433962,107
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),402839,0.019653,1st improv 2opt,65252,0.061661,25,1561579723,65.084559,ql,65.084557,0.000000,797,67533.424623,797
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),397058,0.020479,1st improv 2opt,65310,0.057766,25,1561579724,86.636194,ql,86.636193,0.000000,1060,67514.186969,1060
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),399171,0.020897,1st improv 2opt,64966,0.061082,25,1561579725,9.606265,ql,9.606265,0.000000,117,67592.258621,117
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),402577,0.021546,1st improv 2opt,65217,0.060673,25,1561579726,92.801135,ql,92.801135,0.000000,1134,67536.565755,1134
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),406177,0.020486,1st improv 2opt,67504,0.063807,25,1561579727,100.071450,ql,100.071448,0.000000,1208,67543.955701,1220
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),398043,0.020496,1st improv 2opt,65262,0.061921,25,1561579728,61.342664,ql,61.342663,0.000000,750,67531.295060,750
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),393686,0.020887,1st improv 2opt,64985,0.060912,25,1561579729,86.737239,ql,86.737238,0.000000,1059,67552.853497,1059
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),394157,0.020248,1st improv 2opt,65093,0.058773,25,1561579730,40.797466,ql,40.797466,0.000000,499,67488.839357,499
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),398218,0.020878,1st improv 2opt,65297,0.063150,25,1561579731,54.326881,ql,54.326881,0.000000,664,67503.837104,664
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),394405,0.020789,1st improv 2opt,67490,0.062218,25,1561579732,100.081351,ql,100.081340,0.000000,230,67504.111293,1223
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),397613,0.020631,1st improv 2opt,68019,0.062613,25,1561579733,100.006423,ql,100.006421,0.000000,39,67521.232596,1222
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),392297,0.020428,1st improv 2opt,65289,0.061417,25,1561579734,73.473603,ql,73.473601,0.000000,897,67509.232143,897
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),392311,0.019481,1st improv 2opt,68404,0.057404,25,1561579735,100.052857,ql,100.052856,0.000000,357,67529.539409,1219
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),396569,0.020808,1st improv 2opt,65170,0.061298,25,1561579736,47.453310,ql,47.453309,0.000000,578,67584.235702,578
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),393589,0.020314,1st improv 2opt,65078,0.058225,25,1561579737,46.841896,ql,46.841884,0.000000,573,67505.758741,573
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),392975,0.020876,1st improv 2opt,65293,0.060733,25,1561579738,27.880673,ql,27.880671,0.000000,341,67520.682353,341
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),403045,0.020365,1st improv 2opt,65289,0.060366,25,1561579739,96.331601,ql,96.331599,0.000000,1177,67508.278061,1177
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),390199,0.021321,1st improv 2opt,67561,0.060147,25,1561579740,100.007023,ql,100.007022,0.000000,1175,67515.855037,1222
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),392575,0.020873,1st improv 2opt,64894,0.060070,25,1561579741,15.209363,ql,15.209352,0.000000,185,67513.788043,185
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),386646,0.020384,1st improv 2opt,67482,0.060234,25,1561579742,100.060450,ql,100.060448,0.000000,520,67528.318627,1225
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),396951,0.020283,1st improv 2opt,68569,0.060338,25,1561579743,100.031951,ql,100.031949,0.000000,811,67561.284426,1221
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),394813,0.020922,1st improv 2opt,67731,0.059922,25,1561579744,100.005136,ql,100.005134,0.000000,146,67556.228689,1221
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),393049,0.020757,1st improv 2opt,67877,0.058597,25,1561579745,100.023896,ql,100.023896,0.000000,280,67511.584224,1218
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),399568,0.020977,1st improv 2opt,67327,0.059707,25,1561579746,100.010332,ql,100.010330,0.000000,753,67513.806240,1219
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),398132,0.021998,1st improv 2opt,65166,0.061728,25,1561579747,69.247509,ql,69.247507,0.000000,848,67493.808737,848
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),381027,0.021423,1st improv 2opt,68568,0.061912,25,1561579748,100.008588,ql,100.008587,0.000000,844,67534.689599,1222
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),402383,0.020880,1st improv 2opt,68003,0.064542,25,1561579749,100.053822,ql,100.053820,0.000000,40,67521.173878,1226
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),400244,0.022047,1st improv 2opt,65247,0.063015,25,1561579750,86.566199,ql,86.566197,0.000000,1058,67536.526017,1058
