name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68884,0.048674,1st improv 2opt,66327,0.176732,25,1561606417,0.503060,ql,0.503059,0.503055,2,67993.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69309,0.050898,1st improv 2opt,66729,0.180026,25,1561606419,0.508471,ql,0.508459,0.508456,2,68166.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69556,0.052432,1st improv 2opt,66638,0.189321,25,1561606421,0.520731,ql,0.520729,0.520727,2,68575.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68425,0.049971,1st improv 2opt,66136,0.187273,25,1561606423,0.525677,ql,0.525676,0.525674,2,67254.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68971,0.050215,1st improv 2opt,66235,0.183455,25,1561606425,0.499455,ql,0.499454,0.499451,2,67596.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69383,0.049988,1st improv 2opt,66535,0.186247,25,1561606427,0.519546,ql,0.519545,0.519543,2,67923.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68846,0.049264,1st improv 2opt,65828,0.172241,25,1561606429,0.507541,ql,0.507541,0.507538,2,67326.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),70422,0.049338,1st improv 2opt,67262,0.171832,25,1561606431,0.491446,ql,0.491435,0.491433,2,68964.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69538,0.050946,1st improv 2opt,66350,0.180632,25,1561606433,0.514697,ql,0.514696,0.514694,2,68051.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68252,0.051360,1st improv 2opt,65814,0.180068,25,1561606435,0.518307,ql,0.518306,0.518303,2,67033.000000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69969,0.048868,1st improv 2opt,67019,0.179560,25,1561606437,0.498371,ql,0.498369,0.498368,2,68824.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69083,0.050000,1st improv 2opt,66052,0.177001,25,1561606439,0.508419,ql,0.508418,0.508416,2,67748.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69143,0.050371,1st improv 2opt,66846,0.175383,25,1561606441,0.505025,ql,0.505023,0.505021,2,67968.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68710,0.050813,1st improv 2opt,65323,0.179478,25,1561606443,0.514473,ql,0.514472,0.514469,2,67223.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69121,0.049935,1st improv 2opt,66517,0.173286,25,1561606450,1.867175,ql,1.867175,1.867164,7,67922.285714,7
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68851,0.050828,1st improv 2opt,65886,0.182984,25,1561606452,0.506915,ql,0.506914,0.506912,2,67680.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),69556,0.048783,1st improv 2opt,67062,0.174693,25,1561606454,0.504790,ql,0.504788,0.504787,2,68510.000000,2
