name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3469782,0.045030,1st improv 2opt,383514,0.161597,25,1559837361,3.013687,ql,3.013685,0.000000,0,394673.384615,13
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3447985,0.045375,1st improv 2opt,386744,0.173644,25,1559837362,3.920498,ql,3.920486,0.000000,0,394665.529412,17
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3500796,0.045100,1st improv 2opt,386505,0.168907,25,1559837363,0.430324,ql,0.430313,0.000000,0,398263.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3464253,0.044903,1st improv 2opt,386758,0.169181,25,1559837364,19.101711,ql,19.101710,0.000000,0,394960.195402,87
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3560817,0.044920,1st improv 2opt,387163,0.173184,25,1559837365,17.515277,ql,17.515275,0.000000,0,394069.025000,80
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3575744,0.044969,1st improv 2opt,386482,0.174213,25,1559837366,10.423336,ql,10.423336,0.000000,0,394992.106383,47
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3452945,0.046356,1st improv 2opt,386584,0.169271,25,1559837367,4.122817,ql,4.122815,0.000000,0,397050.333333,18
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3538141,0.045146,1st improv 2opt,386102,0.180614,25,1559837368,2.574011,ql,2.574000,0.000000,0,396517.909091,11
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3490479,0.044507,1st improv 2opt,385831,0.164309,25,1559837369,6.689895,ql,6.689883,0.000000,0,394393.233333,30
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),3461551,0.045631,1st improv 2opt,385688,0.169942,25,1559837370,0.655624,ql,0.655613,0.000000,0,395281.000000,2
