name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),395880,0.045082,1st improv 2opt,375772,0.157896,25,1559838264,0.447082,ql,0.447080,0.447078,1,375772.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375836,0.045357,1st improv 2opt,374122,0.156935,25,1559838266,0.446021,ql,0.446009,0.446008,1,374122.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),392830,0.045559,1st improv 2opt,378291,0.158409,25,1559838268,0.449495,ql,0.449493,0.449482,1,378291.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),389981,0.045214,1st improv 2opt,375968,0.155503,25,1559838270,0.449796,ql,0.449794,0.449792,1,375968.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),390155,0.045129,1st improv 2opt,379139,0.154926,25,1559838272,0.456032,ql,0.456020,0.456018,1,379139.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),389995,0.045086,1st improv 2opt,376134,0.160323,25,1559838274,0.460355,ql,0.460344,0.460342,1,376134.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375837,0.045214,1st improv 2opt,374118,0.157423,25,1559838277,0.442700,ql,0.442689,0.442687,1,374118.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),395419,0.045044,1st improv 2opt,380512,0.151704,25,1559838279,0.439600,ql,0.439598,0.439587,1,380512.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),393453,0.044945,1st improv 2opt,373807,0.158607,25,1559838281,0.445109,ql,0.445098,0.445096,1,373807.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),384310,0.045235,1st improv 2opt,371699,0.151649,25,1559838283,0.443871,ql,0.443861,0.443858,1,371699.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),380583,0.045087,1st improv 2opt,379806,0.149622,25,1559838285,0.442029,ql,0.442029,0.442017,1,379806.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),394693,0.045441,1st improv 2opt,379091,0.155776,25,1559838287,0.444830,ql,0.444820,0.444818,1,379091.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),376142,0.044763,1st improv 2opt,374959,0.154818,25,1559838289,0.444960,ql,0.444948,0.444947,1,374959.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),392071,0.045269,1st improv 2opt,379304,0.152991,25,1559838291,0.445789,ql,0.445787,0.445786,1,379304.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),379278,0.045245,1st improv 2opt,378716,0.150361,25,1559838293,0.435941,ql,0.435930,0.435929,1,378716.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),374080,0.044805,1st improv 2opt,373229,0.158550,25,1559838295,0.454328,ql,0.454327,0.454324,1,373229.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),390471,0.045383,1st improv 2opt,378944,0.155339,25,1559838298,0.444781,ql,0.444770,0.444768,1,378944.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),373323,0.045021,1st improv 2opt,373229,0.154465,25,1559838300,0.438664,ql,0.438663,0.438661,1,373229.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),379919,0.044669,1st improv 2opt,379806,0.150688,25,1559838302,0.449373,ql,0.449372,0.449370,1,379806.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),376220,0.045702,1st improv 2opt,375027,0.158672,25,1559838305,0.446780,ql,0.446780,0.446767,1,375027.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),374977,0.044773,1st improv 2opt,374242,0.151090,25,1559838307,0.440850,ql,0.440839,0.440838,1,374242.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),384614,0.044603,1st improv 2opt,372859,0.155755,25,1559838309,0.446405,ql,0.446394,0.446392,1,372859.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),380576,0.045337,1st improv 2opt,379806,0.160288,25,1559838311,0.448212,ql,0.448201,0.448199,1,379806.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),379200,0.045337,1st improv 2opt,378716,0.154022,25,1559838314,0.450810,ql,0.450798,0.450797,1,378716.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375151,0.044799,1st improv 2opt,374268,0.162561,25,1559838316,0.453176,ql,0.453164,0.453163,1,374268.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),373901,0.045646,1st improv 2opt,373229,0.151691,25,1559838318,0.441208,ql,0.441197,0.441195,1,373229.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375836,0.044733,1st improv 2opt,374122,0.171005,25,1559838320,0.462948,ql,0.462938,0.462935,1,374122.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375044,0.044873,1st improv 2opt,374336,0.154884,25,1559838322,0.444050,ql,0.444049,0.444037,1,374336.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),375023,0.044924,1st improv 2opt,374268,0.163519,25,1559838324,0.457690,ql,0.457690,0.457677,1,374268.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),373366,0.044555,1st improv 2opt,373229,0.160376,25,1559838326,0.449463,ql,0.449450,0.449448,1,373229.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),380499,0.045269,1st improv 2opt,378573,0.152195,25,1559838328,0.445775,ql,0.445765,0.445763,1,378573.000000,1
instances/medium/vm1748.tsp,1748,Random Double-sided nearest neighbor (RDSNN),372327,0.044584,1st improv 2opt,370822,0.150686,25,1559838330,0.443341,ql,0.443330,0.443329,1,370822.000000,1
