name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63016,0.020012,1st improv 2opt,62766,0.063220,25,1562030918,1000.068270,ql,1000.068268,835.558777,8249,64919.112619,9874
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63002,0.019700,1st improv 2opt,62729,0.062620,25,1562040794,1000.020669,ql,1000.020658,550.464966,5435,64907.995646,9876
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),62860,0.019854,1st improv 2opt,62660,0.064235,25,1562050699,1000.036223,ql,1000.036221,371.576563,3673,64908.756487,9905
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63705,0.019851,1st improv 2opt,63034,0.062106,25,1562060616,1000.045239,ql,1000.045227,477.636615,4734,64949.807502,9917
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63238,0.019243,1st improv 2opt,63000,0.062474,25,1562070532,1000.077535,ql,1000.077534,950.012225,9419,64928.365167,9916
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),62978,0.019358,1st improv 2opt,62679,0.062863,25,1562080440,1000.104584,ql,1000.104582,263.169958,2612,64916.162596,9908
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63265,0.019567,1st improv 2opt,62858,0.062680,25,1562090339,1000.035841,ql,1000.035840,743.849270,7363,64893.964138,9899
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),62711,0.019592,1st improv 2opt,62493,0.062557,25,1562100251,1000.035990,ql,1000.035979,162.639177,1611,64939.608253,9912
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63096,0.019551,1st improv 2opt,62970,0.061874,25,1562110162,1000.032341,ql,1000.032339,438.139597,4343,64956.258400,9911
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),62826,0.019368,1st improv 2opt,62570,0.063020,25,1562120074,1000.075729,ql,1000.075729,971.522324,9630,64917.889124,9912
