name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63994,0.019066,1st improv 2opt,63585,0.059146,25,1561686599,150.039329,ql,150.039327,127.864516,1322,64479.987758,1552
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63672,0.018723,1st improv 2opt,63468,0.061309,25,1561687378,75.205152,ql,75.205151,75.205127,779,64296.345315,779
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63579,0.019370,1st improv 2opt,63477,0.059881,25,1561688318,90.959970,ql,90.959970,90.959947,940,64373.530851,940
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64001,0.019294,1st improv 2opt,63868,0.061130,25,1561689875,150.056196,ql,150.056184,7.974096,83,64667.631985,1557
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63720,0.019314,1st improv 2opt,63486,0.058306,25,1561691030,111.529601,ql,111.529599,111.529577,1155,64593.290043,1155
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65414,0.019116,1st improv 2opt,63241,0.061982,25,1561691396,35.209352,ql,35.209351,35.209327,366,64580.822404,366
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63831,0.018834,1st improv 2opt,63339,0.059323,25,1561691420,2.294862,ql,2.294862,2.294858,24,64902.916667,24
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63707,0.019403,1st improv 2opt,63473,0.059828,25,1561692161,71.790818,ql,71.790816,71.790790,741,64364.798920,741
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63580,0.019356,1st improv 2opt,63486,0.057987,25,1561692705,52.438602,ql,52.438601,52.438577,544,64276.352941,544
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63694,0.018625,1st improv 2opt,63380,0.060713,25,1561693327,59.902428,ql,59.902427,59.902403,622,64913.290997,622
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63835,0.019173,1st improv 2opt,63399,0.059216,25,1561693676,33.615880,ql,33.615880,33.615876,349,64125.681948,349
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63824,0.018638,1st improv 2opt,63258,0.058899,25,1561693832,15.046653,ql,15.046652,15.046649,156,65066.724359,156
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63587,0.019192,1st improv 2opt,63462,0.058486,25,1561694886,101.907260,ql,101.907259,101.907237,1054,64608.211575,1054
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63780,0.019141,1st improv 2opt,63726,0.058440,25,1561696438,150.003582,ql,150.003580,64.865323,671,64540.387887,1552
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63686,0.019033,1st improv 2opt,63480,0.059612,25,1561697428,95.684551,ql,95.684550,95.684526,990,64685.240404,990
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63611,0.018472,1st improv 2opt,63387,0.059554,25,1561697479,4.914269,ql,4.914268,4.914244,51,65181.156863,51
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63608,0.019153,1st improv 2opt,63521,0.056650,25,1561699031,150.034948,ql,150.034948,148.482579,1536,64731.873711,1552
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63533,0.019184,1st improv 2opt,63453,0.056301,25,1561699700,64.629475,ql,64.629473,64.629450,669,64252.327354,669
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64211,0.019417,1st improv 2opt,63477,0.059500,25,1561700203,48.604386,ql,48.604386,48.604382,503,64157.133201,503
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64121,0.019163,1st improv 2opt,63398,0.061173,25,1561700207,0.380918,ql,0.380918,0.380915,4,64453.500000,4
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63600,0.019401,1st improv 2opt,63470,0.058767,25,1561700720,49.630478,ql,49.630478,49.630454,513,63944.951267,513
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64217,0.019237,1st improv 2opt,63440,0.059467,25,1561701172,43.653840,ql,43.653839,43.653836,452,64411.205752,452
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63496,0.019034,1st improv 2opt,63488,0.059589,25,1561702726,150.021643,ql,150.021642,6.649743,69,64728.666023,1554
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65856,0.018736,1st improv 2opt,63318,0.058001,25,1561704096,132.263439,ql,132.263438,132.263434,1370,64485.165693,1370
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65926,0.019333,1st improv 2opt,63129,0.057264,25,1561705455,131.541130,ql,131.541130,131.541127,1359,64424.827815,1359
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63974,0.019212,1st improv 2opt,63279,0.059386,25,1561706996,148.831680,ql,148.831678,148.831676,1541,64416.892278,1541
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63571,0.018797,1st improv 2opt,63502,0.057872,25,1561708549,150.067385,ql,150.067385,70.240217,727,64354.215712,1553
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63710,0.019273,1st improv 2opt,63313,0.061324,25,1561709390,81.370371,ql,81.370371,81.370345,841,64352.979786,841
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),65093,0.018733,1st improv 2opt,63346,0.058187,25,1561710700,126.347642,ql,126.347641,126.347639,1310,64696.293130,1310
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),64493,0.018842,1st improv 2opt,63289,0.057758,25,1561710759,5.675304,ql,5.675303,5.675279,59,64941.254237,59
instances/medium/pcb1173.tsp,1173,Random Double-sided nearest neighbor (RDSNN),63609,0.020048,1st improv 2opt,63483,0.064842,25,1561711279,50.345131,ql,50.345130,50.345126,520,64730.605769,520
