name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65667,0.049022,1st improv 2opt,65496,0.177588,25,1562038237,4.975719,ql,4.975718,4.975697,18,66735.222222,18
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65626,0.048537,1st improv 2opt,65516,0.179138,25,1562038310,20.311041,ql,20.311040,20.311013,73,66502.493151,73
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65587,0.049309,1st improv 2opt,65469,0.185266,25,1562038337,7.465071,ql,7.465070,7.465049,27,65850.888889,27
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65520,0.047510,1st improv 2opt,65503,0.181884,25,1562038602,73.515274,ql,73.515274,73.515247,265,65961.041509,265
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65647,0.049309,1st improv 2opt,65594,0.181066,25,1562039143,150.263929,ql,150.263927,126.896884,457,65994.870610,541
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65847,0.048029,1st improv 2opt,65431,0.185049,25,1562039169,7.194074,ql,7.194072,7.194046,26,66381.576923,26
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65705,0.047641,1st improv 2opt,65600,0.187414,25,1562039710,150.073253,ql,150.073252,137.859107,497,65914.907579,541
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),66038,0.048323,1st improv 2opt,66028,0.186751,25,1562040252,150.107277,ql,150.107276,143.774759,519,66306.780443,542
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65678,0.047833,1st improv 2opt,65570,0.175868,25,1562040792,150.014524,ql,150.014522,139.139697,501,65739.096296,540
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65670,0.048307,1st improv 2opt,65605,0.183776,25,1562041334,150.137598,ql,150.137596,143.435338,518,65861.038745,542
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),67265,0.048255,1st improv 2opt,65127,0.183414,25,1562041336,0.521217,ql,0.521216,0.521203,2,67502.500000,2
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65619,0.049189,1st improv 2opt,65488,0.183928,25,1562041344,2.170234,ql,2.170223,2.170209,8,66960.250000,8
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65855,0.048637,1st improv 2opt,65850,0.180826,25,1562041885,150.052144,ql,150.052142,140.072031,505,66090.809612,541
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65524,0.047854,1st improv 2opt,65507,0.179442,25,1562041937,14.352772,ql,14.352760,14.352736,52,65781.134615,52
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65682,0.047958,1st improv 2opt,65599,0.185116,25,1562042478,150.230110,ql,150.230109,132.365652,477,65847.306839,541
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65660,0.047608,1st improv 2opt,65624,0.177701,25,1562043020,150.004680,ql,150.004678,130.825331,473,65866.682657,542
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68071,0.048659,1st improv 2opt,65440,0.178952,25,1562043070,13.772775,ql,13.772764,13.772738,50,66442.580000,50
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),67181,0.049059,1st improv 2opt,64787,0.176401,25,1562043097,7.418617,ql,7.418616,7.418594,27,67392.888889,27
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65675,0.048136,1st improv 2opt,65271,0.192881,25,1562043109,3.301203,ql,3.301202,3.301186,12,66292.666667,12
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68007,0.048074,1st improv 2opt,65172,0.169773,25,1562043142,9.105874,ql,9.105874,9.105849,33,66424.727273,33
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65816,0.046554,1st improv 2opt,65690,0.182391,25,1562043685,150.138450,ql,150.138449,97.681162,353,65893.257827,543
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65727,0.047435,1st improv 2opt,65474,0.178699,25,1562043763,21.679667,ql,21.679655,21.679628,78,66425.705128,78
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65780,0.048550,1st improv 2opt,65757,0.180552,25,1562044304,150.023342,ql,150.023340,133.675470,482,65985.225508,541
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65531,0.055260,1st improv 2opt,65514,0.206288,25,1562044802,145.303450,ql,145.303448,145.303423,498,65782.495984,498
