name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed, total time, alpha type, grasp time, timeToBest grasp, iterationsToBestGrasp, meanGRASPDistance, totalIterationsGrasp
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65682,0.048172,1st improv 2opt,65515,0.175759,25,1561725354,2.393789,ql,2.393787,2.393775,9,66535.777778,9
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65525,0.046321,1st improv 2opt,65356,0.167975,25,1561725521,44.808074,ql,44.808073,44.808046,167,66206.592814,167
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),68596,0.048097,1st improv 2opt,65502,0.177301,25,1561725639,31.794695,ql,31.794694,31.794690,118,66757.203390,118
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65556,0.046827,1st improv 2opt,65458,0.174299,25,1561725890,67.608159,ql,67.608157,67.608138,251,66407.342629,251
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65670,0.046166,1st improv 2opt,65336,0.174513,25,1561726063,46.302141,ql,46.302139,46.302136,173,66356.693642,173
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65745,0.046785,1st improv 2opt,65463,0.175526,25,1561726066,0.751347,ql,0.751345,0.751343,3,66977.333333,3
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65567,0.046617,1st improv 2opt,65495,0.173374,25,1561726089,6.139971,ql,6.139970,6.139947,23,67262.782609,23
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65653,0.046516,1st improv 2opt,65149,0.169936,25,1561726312,60.069236,ql,60.069235,60.069210,223,66497.013453,223
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65823,0.046994,1st improv 2opt,65453,0.178279,25,1561726658,93.095176,ql,93.095174,93.095172,346,66100.783237,346
instances/medium/u1817.tsp,1817,Random Double-sided nearest neighbor (RDSNN),65592,0.046054,1st improv 2opt,65441,0.172565,25,1561726741,22.202357,ql,22.202356,22.202352,83,66788.795181,83
